Run,c,cpp,cython,java,julia,js,scala,go
1,0.84251,0.796238,2.529418,1.702,1.585592,1.666623,2.118729,2.588054
2,0.844333,0.771036,2.422853,1.682,2.187902,2.244644,3.209932,2.989693
3,0.845166,0.776026,2.661607,1.948,1.728615,1.958195,2.51075,2.731628
4,0.921505,0.839788,2.337196,1.777,1.457369,1.626882,2.295062,2.380266
5,0.90222,0.788488,2.688584,2.133,2.149209,1.578633,2.089332,2.398867
6,0.845364,0.795821,2.56883,1.76,1.461059,1.659539,2.324967,2.804188
7,0.997006,0.766942,2.773786,1.714,1.443434,1.497627,2.122311,2.546593
8,0.898045,0.746187,2.700879,1.787,1.506803,1.526061,1.805244,2.267364
9,0.741079,0.606541,2.178059,1.588,1.434924,1.503793,1.873952,2.274239
10,0.736132,0.610125,2.198966,1.585,1.457126,1.550428,1.965661,2.282728
